Calorie,Carbohydrates,Cholesterol,Fat,Fiber,Potassium,Protein,Saturated Fat,Serving Size,Sodium,Sugar,Turkish Name
64.2,7.2,5,1.6,0.0,145,5.3,1.0,100.0,69,7.1,süzme yoğurt
55.7,14.8,0,0.0,2.2,11,0.7,0.0,100.0,0,10.3,yaban mersini
31.9,7.7,0,0.3,2.0,23,0.7,0.0,100.0,0,4.9,çilek
475.3,42.3,0,30.9,34.0,859,16.6,3.4,100.0,15,0.0,chia tohumu
592.9,21.3,0,49.0,12.5,473,20.8,4.1,100.0,0,4.2,çiğ badem
332.1,71.5,0,2.5,10.9,362,13.3,0.4,100.0,2,0.4,tam buğday unu
100.1,3.4,16,4.3,0.0,158,11.0,1.7,100.0,361,2.7,lor peyniri
33.6,8.3,0,0.2,0.9,15,0.8,0.1,100.0,16,7.8,kavun
455.3,52.3,0,28.3,9.9,101,3.2,26.3,100.0,288,36.9,hindistan cevizi rendesi
144.8,32.5,0,0.7,2.0,153,6.4,0.0,100.0,16,1.0,ezilmiş sarımsak
295.5,2.2,79,22.6,0.0,350,22.1,13.1,100.0,629,1.0,rendelenmiş mozarella
288.3,75.4,0,0.4,8.2,62,2.4,0.0,100.0,1,63.2,hurma
368.3,67.0,0,6.4,10.3,416,13.2,1.1,100.0,6,1.0,yulaf
455.3,52.3,0,28.3,9.9,101,3.2,26.3,100.0,288,36.9,hindistan cevizi
881.6,0.0,0,98.8,0.0,0,0.0,83.1,100.0,0,0.0,hindistan cevizi yağı
579.7,24.0,0,49.6,5.6,336,22.1,9.6,100.0,477,6.5,fıstık ezmesi
542.0,60.9,8,31.9,7.0,205,4.8,18.7,100.0,24,48.3,bitter çikolata
368.3,67.0},0,6.4,10.3,416,13.2,1.1,100.0,6,1.0,yulaf sütü
247.4,80.4,0,1.1,53.8,64,3.9,0.4,100.0,10,2.3,tarçın
17.8,3.9,0,0.2,1.2,23,0.9,0.0,100.0,5,2.6,cherry domates
335.6,64.1,0,14.8,42.0,69,5.0,7.5,100.0,50,0.0,biberiye
36.1,6.2,0,0.8,3.5,58,2.9,0.3,100.0,56,0.8,maydanoz 
28.0,5.3,0,0.5,2.1,87,2.1,0.1,100.0,1,2.3,mantar
342.0,5.5,100,34.0,0.0,106,6.2,20.1,100.0,309,3.7,krem peynir
51.3,4.9,8,1.9,0.0,100,3.5,1.2,100.0,52,0.0,çiğ süt
20.7,0.9,0,0.0,0.0,8,0.0,0.0,100.0,5,0.4,elma sirkesi
28.0,5.3,0,0.5,2.1,87,2.1,0.1,100.0,1,2.3,büyük mantar
27.5,6.8,0,0.2,1.2,18,0.9,0.0,100.0,2,3.2,dolmalık yeşil biber
